code,system
7K1LM00,readv2
S234.11,readv2
S234.00,readv2
S234500,readv2
S234600,readv2
S235.00,readv2
S235500,readv2
S235600,readv2
S23C.00,readv2
S4C2000,readv2
S4C3000,readv2
S234000,readv2
S234z00,readv2
S235000,readv2
S235z00,readv2
S234100,readv2
S235100,readv2
S234111,readv2
S234700,readv2
S235111,readv2
S235700,readv2
S234200,readv2
S234D00,readv2
S235200,readv2
S235D00,readv2
S4C2.00,readv2
S4C3.00,readv2
S234300,readv2
S235300,readv2
S234400,readv2
S235400,readv2
S234800,readv2
S235800,readv2
S234900,readv2
S234912,readv2
S235900,readv2
S234911,readv2
S234A11,readv2
S4C..00,readv2
S4C0.00,readv2
S4C0000,readv2
S4C0100,readv2
S4C1.00,readv2
S4C1000,readv2
S4C1100,readv2
S234A00,readv2
S234A12,readv2
S234B00,readv2
S235B00,readv2
S234C00,readv2
S235C00,readv2
S234E00,readv2
S235E00,readv2
S234F00,readv2
S235F00,readv2
S235.11,readv2
SC3C000,readv2
10022.0,med
10033.0,med
104070.0,med
107741.0,med
11066.0,med
11262.0,med
1742.0,med
17921.0,med
17922.0,med
18299.0,med
18301.0,med
18389.0,med
18614.0,med
19058.0,med
199.0,med
203.0,med
27590.0,med
27591.0,med
28293.0,med
2862.0,med
28708.0,med
30418.0,med
343.0,med
34429.0,med
34730.0,med
38398.0,med
38408.0,med
40268.0,med
40476.0,med
42076.0,med
42844.0,med
44652.0,med
44844.0,med
44924.0,med
46798.0,med
49256.0,med
49796.0,med
50053.0,med
50148.0,med
52389.0,med
53689.0,med
53698.0,med
57736.0,med
59219.0,med
5951.0,med
60343.0,med
60630.0,med
6074.0,med
61675.0,med
6213.0,med
63588.0,med
6380.0,med
6455.0,med
65636.0,med
66774.0,med
6915.0,med
9165.0,med
9261.0,med
96691.0,med
98681.0,med
S23B.00,readv2
S4C2100,readv2
S4C3100,readv2
S52.5,icd10
S52.6,icd10
